Login Name,Display Name,Email Address,Office Number,Home Number,Mobile Number,Description,Roles,Password,Require Password Change,Expiration Date,Password Never Expires,locale_home
JohnW@acme[IdentityID].com,John Watson,john.Watson@acme.com,,,,Southern Sales Associate,,Cyberark123!,no,Sales Team,TRUE,
MelissaC@acme[IdentityID].com,Melissa Cohen,Melissa.Cohen@acme.com,,,,Western Sales Associate,,Cyberark123!,no,Sales Team,TRUE,
AngelaC@acme[IdentityID].com,Angela Coleman,Angela.Coleman@acme.com,,,,Northern Sales Associate,,Cyberark123!,no,Sales Team,TRUE,
PatrickM@acme[IdentityID].com,Patrick Martinez,Patrick.Martinez@acme.com,,,,Eastern Sales Associate,,Cyberark123!,no,Sales Team,TRUE,
AllisterH@acme[IdentityID].com,Allister Harris,Allister.Harris@acme.com,,,,Sales Manager,,Cyberark123!,no,Sales Team,TRUE,
CynthiaW@acme[IdentityID].com,Cynthia Whick,Cynthia.Whick@acme.com,,,,IT Manager,,Cyberark123!,no,IT Role,TRUE,
AvitalD@acme[IdentityID].com,Avital Dayan,Avital.Dayan@acme.com,,,,Americas,,Cyberark123!,no,,TRUE,
JonathonB@acme[IdentityID].com,Jonathon Bar,Jonathon.Bar@acme.com,,,,EMEA,,Cyberark123!,no,,TRUE,
TomasG@acme[IdentityID].com,Tomas Garcia,Tomas.Garcia@acme.com,,,,APJ,,Cyberark123!,no,,TRUE,
GaryW@acme[IdentityID].com,Gary Wright,Gary.Wright@acme.com,,,,Junior System Administrator,,Cyberark123!,no,,TRUE,
RayP@acme[IdentityID].com,Ray Perez,Ray.Perez@acme.com,,,,Contracts,,Cyberark123!,no,Legal Role,TRUE,
DeanB@acme[IdentityID].com,Dean Beckett,Dean.Beckett@acme.com,,,,Contracts,,Cyberark123!,no,Legal Role,TRUE,
TeresaS@acme[IdentityID].com,Teresa Smythe,Teresa.Smythe@acme.com,Lead Council,,,Lead Council,,Cyberark123!,no,Legal Role,TRUE,
Cloudadmin@acme[IdentityID].com,Cloud Admin,cloudadmin@acme.com,,,,Global Admin,,Cyberark123!,no,Legal Role,TRUE,
CamilleL@acme[IdentityID].com,Camille Lee,Camille.Lee@acme.com,,,,,,Cyberark123!,no,,TRUE,
RussellM@acme[IdentityID].com,Russell Murray,Russell.Murray@acme.com,,,,,,Cyberark123!,no,,TRUE,
KeithF@acme[IdentityID].com,Keith Fischer,Keith.Fischer@acme.com,,,,,,Cyberark123!,no,,TRUE,
BriaS@acme[IdentityID].com,Bria Sage,Bria.Sage@acme.com,,,,,,Cyberark123!,no,,TRUE,
